Names,NAB_M9,CAB_M9,NAB_M9T,CAB_M9T
b3785,59.8982416666667,61.7412205,51.637995,59.97547
b3786,41.818539,46.228751,44.9072915,54.360154
b3787,17.9873146666667,22.078099,21.350442,21.891218
b3788,36.3421586666667,43.577564,39.632208,33.68128
b3789,26.6501743333333,23.9469735,29.233984,25.347336
b3790,13.1617023333333,15.3573485,14.3037445,11.961346
b3791,48.4578953333333,52.350024,42.397261,52.58754
b3792,32.7662413333333,32.792489,33.0491175,30.22752
b4481,14.9496093333333,18.6049675,19.9004595,20.67396
b3793,12.9460823333333,15.4734385,11.23128,13.262652
b3794,62.104092,58.709886,60.0118515,65.729958
b3795,32.916682,23.724966,28.955214,34.277425
b3800,2.30031333333333,1.5523315,1.1564675,1.586894
b3801,10.792589,11.1506425,11.816465,11.182498
b3802,92.6635406666667,93.175303,94.197128,96.317005
b3803,92.6498023333333,96.106118,88.5255885,94.486183
b3804,179.388207333333,167.0369265,152.667861,157.021566
b3805,140.729181,136.6308065,134.7365115,145.207964
b3806,354.22411,366.5961195,304.2806105,351.779792
b3807,46.5588216666667,39.122939,41.847382,50.562371
b3808,4.385582,4.6098625,6.2230335,6.020628
b4558,2065.50224133333,1646.4809855,1639.1739745,1469.580579
b3809,72.547944,74.1667005,71.718507,77.07038
b3810,253.612085,221.9926035,204.863397,206.830924
b3811,124.874673666667,105.2332825,106.131127,89.511082
b3812,59.1323053333333,62.7096245,59.3140805,51.440577
b3813,151.022897666667,151.220404,125.1527935,159.102796
b4482,4.721382,2.7096925,4.481478,2.491641
b3816,147.466347333333,168.3867305,177.59308,264.23493
b3817,1.94612966666667,2.9907955,1.511338,0
b3818,0,0,0.973773,0
b3819,3.38712033333333,2.200109,3.922967,4.435671
b3820,210.107591666667,238.966651,121.7864955,175.096154
b3821,53.196174,48.1545675,58.4024985,49.149602
b3822,18.843437,18.9058385,21.4933115,16.605816
b3823,40.6683433333333,36.9796315,37.5542485,36.646284
b3824,86.4651216666667,85.463884,63.425943,73.292569
b3825,76.8958946666667,80.2275945,71.814309,82.287253
b3826,147.504070666667,152.5039365,154.2345455,149.408894
b3827,27.5967716666667,24.526696,18.7304575,22.277136
b3828,133.417561,357.506912,211.124363,458.921706
b3829,2019.80157533333,650.3128295,1637.1334945,571.236955
b3830,370.494448,602.6556265,362.7822135,690.181334
b3831,333.219233,313.220269,294.644313,305.697173
