Names,NAB,CAB_1,CAB_2,CAB_3,CAB_4
b0388,152.9008355,73.873008,67.9102866666667,55.6288426666667,105.354637
b0389,489.580904,92.604432,67.1113526666667,91.5971143333333,223.621969666667
b0390,32.77831,26.958327,36.541229,36.65906,79.815063
b0391,2562.4239085,1220.734833,870.042913333333,986.771516,841.493038333333
b0392,108.9313925,38.244672,20.2876383333333,14.5987283333333,12.9088096666667
b4732,0,0,0,0,0
b0393,21.4644325,44.858133,30.599926,22.6288006666667,47.963665
b0394,14.725575,6.288436,32.258532,28.64131,21.4852703333333
b0396,19.1188705,8.803633,12.0501843333333,24.0934596666667,44.639898
b0397,7.492441,14.050693,15.5072786666667,13.6777843333333,13.876387
b0398,8.3407175,15.470464,25.1906496666667,11.284142,22.3595436666667
b0399,31.6072085,26.991834,69.610674,53.6358223333333,80.0104273333333
b0400,18.48739,15.384142,38.075711,30.0722316666667,37.8043766666667
b0401,89.9641565,119.31351,95.160655,50.2472556666667,121.127915
b0402,14.832637,27.995471,26.709185,34.6319353333333,58.2623676666667
b0403,5.0464765,8.055487,8.176654,13.2141833333333,24.0680986666667
b0404,32.0849385,9.574369,36.869725,13.3480433333333,47.2333993333333
b0405,17.796237,27.215898,21.0020403333333,20.292072,114.367882
b0406,51.048197,75.863378,78.804126,39.0434786666667,132.545158
b0407,746.4161145,1360.043628,664.395000666667,842.080095666667,1016.8529
b0408,47.618141,121.937244,112.464440666667,109.647482666667,152.944653
b0409,66.008607,130.790558,82.3137356666667,169.710531666667,174.363963333333
b0410,533.8398575,450.161764,239.649475,210.592648,237.486849333333
b0411,79.2372285,106.685314,176.796667333333,193.414939666667,141.93489
b0412,23.7437175,17.15879,29.2951776666667,48.4055876666667,47.7479686666667
b0413,37.829762,63.429423,107.898151333333,67.8946013333333,161.930583666667
b0414,58.386745,82.86054,119.389655,115.624829,236.923365666667
b0415,105.739081,210.48164,179.951429333333,253.241419333333,520.997949
b0416,345.480807,390.595988,387.236146333333,655.960344666667,962.941289333333
b0417,12.590275,14.672944,21.819947,17.6938666666667,42.0950786666667
b0418,13.800479,13.264826,23.2229976666667,20.5953763333333,41.1622103333333
b0419,60.5993735,74.625343,126.798579666667,123.642526,100.831745666667
b0420,52.1004115,114.879665,132.454847333333,104.682829333333,156.105841
b0421,72.5230175,137.649296,271.197776,222.328515666667,296.221793666667
b0422,111.010384,208.053043,577.556017,406.772339666667,639.470636
b0423,24.4310895,46.743527,35.6304286666667,36.1889976666667,102.734972666667
b0424,107.699094,88.966989,94.3801946666667,117.765768333333,174.494192
b0425,96.589947,98.58357,88.1157753333333,91.9413476666667,154.579045333333
b0426,287.168131,271.354444,171.727461666667,187.959556333333,270.547303
b0427,16.1238115,26.077024,81.6916673333333,49.8807976666667,65.297917
b0428,153.343239,174.668634,423.390236666667,893.407134,816.334123333333
b0429,76.5967065,136.359747,211.639233,337.957406333333,408.111641666667
b0430,112.411385,183.10551,396.186148,484.263529666667,498.547750666667
b0431,225.4978105,419.916888,699.916120666667,675.588742666667,728.991115666667
b0432,663.7611255,976.800636,1325.19573433333,890.393794333333,1141.64248133333
b0433,9.8695585,26.751966,40.2218963333333,32.41181,24.2660533333333
b0434,67.0891755,146.057775,139.564230666667,85.545256,74.8920216666667
b0435,8281.7052985,1143.633134,735.704373,564.472007333333,396.77182
b0436,311.675653,338.774563,147.699749333333,186.760710333333,370.912932666667
b0437,380.078468,332.615056,328.515788,336.54291,525.159512333333
b0438,485.5337025,375.560395,266.878582,352.913908666667,644.268064333333
b0439,141.069257,140.471563,122.081378333333,119.452616333333,219.627834333333
b0440,1325.241581,2821.642312,2078.253196,4534.24147933333,2825.62682266667
b0441,127.96984,208.733142,143.810852333333,124.801612,156.031747333333
b0442,77.2681245,313.590843,238.303444666667,355.618054,86.0271836666667
b0443,329.5047335,63.846296,66.5979956666667,63.5567303333333,40.590391
b0444,74.2703435,138.563518,240.536954,189.234392333333,138.703409666667
b0445,121.8894465,218.78571,630.671495333333,356.796805,170.974004666667
b0446,3.759668,10.355347,15.2854133333333,14.5425636666667,10.964018
b0447,146.4036455,79.598697,300.932684333333,99.398076,134.440085333333
b0448,68.6059685,28.42005,82.347073,42.188986,43.877409
b0449,45.8399655,14.236941,42.6147186666667,31.5848503333333,35.213838
b0450,12.47919,3.926645,0,6.42659633333333,4.52333133333333
b0451,2.0014115,2.311434,2.28533566666667,7.20308533333333,9.322233
b0452,38.037791,37.937313,37.0325616666667,36.942393,49.2790086666667
b0453,415.023352,43.790731,30.628901,37.7117586666667,105.027472333333
b0454,378.0030495,347.600626,559.25361,483.766375333333,975.859582
b0456,0,3.450689,0,0,3.65951733333333
b0457,42.8112875,14.432731,31.6601236666667,19.680566,29.9886173333333
b0458,334.080751,285.537109,563.771813,385.916844333333,383.977858
b0459,102.1134865,37.586951,90.0188046666667,25.2829833333333,53.1681646666667
b0460,3067.8223035,419.194354,453.460251,68.6343236666667,198.251698666667
b0461,2229.071432,391.07063,471.302597,125.876921,122.752692333333
b0462,51.398521,122.46481,87.5783396666667,99.292117,83.1467773333333
b0463,79.4037375,150.028049,134.188841333333,66.246434,78.7600946666667
b0464,143.152232,103.057335,61.4463983333333,12.9715056666667,16.6699413333333
b0465,20.1352835,28.320537,40.10642,35.4010303333333,55.4375966666667
b0466,12.7137245,0,61.0850346666667,17.0238303333333,97.141521
b0467,16.8602925,25.626453,50.8187333333333,43.3601986666667,97.289441
b0468,12.506382,19.967705,55.8931203333333,19.7306513333333,49.2091983333333
b0469,65.750766,101.01493,73.378702,20.6278986666667,77.0366693333333
b0470,55.51175,61.459606,75.2663183333333,83.6345153333333,163.066083333333
b0470_1,0,20.424092,0,2.66666666666667e-06,31.8830916666667
b0471,174.0445405,208.800863,195.702356,467.707905,627.533409666667
b0472,80.6792015,82.095749,106.977081,168.176824666667,380.131728333333
b0473,188.5603485,141.062003,233.140204,179.925366,200.297484666667
b0474,266.653339,468.749725,269.142214333333,320.045788,778.252690666667
b0475,73.606252,35.778502,40.908552,17.440597,27.8549176666667
b0476,18.490617,49.043633,176.000835,177.952857666667,88.575949
b0477,17.475806,41.210146,45.0197916666667,40.3687276666667,98.4199793333333
b0478,55.2612975,18.880633,12.873255,10.3989953333333,27.3628663333333
b0479,9.067679,18.003181,20.4604456666667,26.590515,32.5481173333333
b0480,38.5823415,53.001926,67.702689,52.2419586666667,39.0056446666667
b0481,33.6447645,45.369553,40.0605116666667,55.7846433333333,84.7050803333333
b0482,33.678331,35.018661,62.593928,53.9204523333333,146.076994666667
b0483,74.093709,95.611679,111.122879333333,95.621827,494.390595
b0484,114.2400075,48.810272,141.902517,158.901029666667,233.505773
b0485,14.229659,0,2.19398133333333,1.76447833333333,2.103761
b0486,45.8949565,4.924162,6.35292066666667,4.590342,7.75529666666667
b0487,97.897141,80.989147,113.305678666667,75.864154,127.491354
b0488,148.788473,95.172356,65.754241,40.4204116666667,30.8968686666667
b0489,150.1361385,105.429841,65.473209,35.2841083333333,20.4500416666667
b0490,108.5498245,32.67676,13.9789896666667,4.75481833333333,11.9716846666667
b0491,32.3281205,19.002094,7.151572,8.78521833333333,7.19619466666667
b0492,44.6015245,96.093844,146.553645666667,132.71694,172.880303666667
b0493,58.3161515,51.392924,77.144303,64.7205063333333,131.73707
b0494,37.4508415,43.796507,45.1917633333333,44.376264,104.692026333333
b0495,19.739706,13.591841,8.40483833333333,10.5807833333333,21.1402226666667
b0496,9.6020005,17.892925,18.3067686666667,24.8447046666667,37.2680233333333
b0497,6.648096,2.335528,5.24633966666667,6.250729,10.99298
b0498,0,0,0,0,0
b0499,0.508825,0.756539,0,0.681631,0.285347
b0501,0,0,0,0,0
b4632,0,0,0,0,0
b0502,0,0,0,0,0
b0503,6.369976,8.131954,38.7894146666667,17.5196126666667,25.374727
b0504,4.512527,11.725098,70.3901153333333,10.3545693333333,10.6754566666667
